cloudiness,country,date,humidity,latitude,longitude,max_temp,wind_speed
40,CU,1553561520,78,78,-79.97,297.15,2.6
0,PT,1553563912,44,44,-6.55,279.087,7.26
0,EG,1553562000,87,87,27.25,284.15,2.6
75,CA,1553558400,62,62,-127.42,284.15,1.0
5,MX,1553563833,44,44,-109.91,298.15,5.1
75,CA,1553563325,36,36,-135.06,282.15,2.6
92,ET,1553563913,44,44,36.35,293.387,2.36
48,RU,1553563714,65,65,128.95,259.738,3.76
0,CL,1553563914,78,78,-70.76,287.037,1.21
75,AU,1553562000,74,74,136.78,304.15,2.6
1,CA,1553562000,84,84,-100.04,273.15,4.1
1,US,1553563783,13,13,-105.96,296.15,3.1
32,PH,1553563915,70,70,122.67,301.437,5.71
90,US,1553563690,67,67,-122.03,290.37,2.1
40,US,1553563831,70,70,-94.76,282.15,4.1
0,NO,1553563835,70,70,10.61,273.15,2.24
76,UY,1553563917,92,92,-56.52,286.887,4.11
80,CD,1553563918,94,94,21.52,296.087,1.81
0,KZ,1553563918,82,82,55.19,270.837,1.26
68,ID,1553563918,89,89,135.5,297.887,1.16
64,GL,1553563918,100,100,-49.67,269.537,11.31
92,GB,1553561400,87,87,-1.35,281.15,6.2
0,CL,1553562000,87,87,-73.76,282.15,3.6
0,GW,1553563920,100,100,-15.83,297.187,6.81
40,CV,1553562000,60,60,-23.77,293.15,3.1
0,RU,1553563921,75,75,96.39,269.087,2.06
80,RU,1553563921,90,90,102.47,268.487,6.61
40,AU,1553562000,49,49,150.74,305.15,1.0
1,US,1553563705,100,100,-87.9,293.71,1.5
68,AU,1553563922,50,50,149.07,303.787,2.06
56,VN,1553563922,90,90,107.08,301.787,10.06
64,BR,1553563922,64,64,-56.15,298.087,2.21
12,ID,1553563923,100,100,122.22,301.387,3.46
68,RU,1553563923,76,76,43.26,267.987,2.36
40,PE,1553562000,78,78,-73.25,299.15,2.6
56,AU,1553563862,43,43,147.99,292.59,2.24
75,RU,1553563835,92,92,30.79,272.59,5.0
0,HN,1553563924,84,84,-84.28,300.387,4.46
56,RU,1553563924,100,100,156.12,271.387,8.96
0,IN,1553563925,88,88,80.1,293.637,0.51
92,RU,1553563925,95,95,179.32,273.887,16.36
0,RU,1553563925,34,34,109.78,268.287,2.21
0,GL,1553563926,70,70,-69.36,249.137,3.81
8,IN,1553562000,69,69,74.49,296.15,1.56
0,SA,1553562000,55,55,43.97,289.15,7.7
80,ID,1553563698,95,95,101.38,292.838,0.06
20,ID,1553562000,83,83,115.22,301.15,2.1
75,PW,1553561400,70,70,134.26,303.15,2.6
48,RU,1553563928,74,74,114.09,258.437,2.21
5,MX,1553561040,8,8,-104.67,300.15,2.1
40,CA,1553562000,35,35,-105.3,277.15,3.6
12,ID,1553563929,99,99,124.89,301.587,2.16
48,ID,1553563929,100,100,132.75,301.587,2.81
40,US,1553563887,51,51,-156.47,300.15,8.2
32,LT,1553561400,92,92,22.52,272.15,5.1
40,JP,1553562000,51,51,134.14,288.15,1.5
90,RU,1553562000,95,95,64.26,273.15,6.0
24,BR,1553563931,96,96,-58.44,297.587,1.21
88,RU,1553563931,80,80,166.1,267.387,9.06
80,BT,1553563931,84,84,89.73,265.137,0.86
0,AR,1553562000,59,59,-68.06,289.15,1.0
75,NO,1553563924,94,94,5.65,278.15,5.7
0,CN,1553563932,64,64,98.29,276.087,2.86
0,ES,1553562000,67,67,-17.92,289.15,2.6
92,CN,1553563933,81,81,114.9,288.837,4.51
75,NO,1553561400,79,79,23.68,271.15,6.7
40,MU,1553563747,94,94,57.7,298.15,1.5
75,US,1553563830,54,54,-95.37,299.26,4.1
8,GH,1553563934,98,98,-2.24,301.087,3.01
64,BR,1553563745,86,86,-44.09,296.638,2.41
20,RU,1553563934,48,48,133.04,270.287,1.61
8,UA,1553563934,91,91,28.4,274.137,4.46
0,ZW,1553563935,83,83,31.07,285.837,0.91
40,CA,1553562000,92,92,-133.03,264.15,3.1
92,RU,1553563935,94,94,64.7,273.837,8.81
40,MU,1553563747,94,94,57.66,298.15,1.5
5,CA,1553563609,63,63,-76.48,273.15,4.6
88,GL,1553561400,85,85,-51.1,269.15,3.6
0,RU,1553562000,80,80,43.52,275.15,4.0
8,IE,1553563692,69,69,-9.52,282.59,7.15
40,CU,1553561400,100,100,-78.23,294.15,2.1
8,RU,1553563937,50,50,99.18,268.887,1.51
68,RU,1553563938,76,76,158.7,262.537,3.56
76,GA,1553563729,100,100,8.78,300.238,1.71
40,RS,1553562000,81,81,19.28,279.15,3.6
24,NE,1553563695,14,14,12.92,294.488,5.61
56,CN,1553563889,80,80,108.39,286.237,1.26
8,GB,1553563928,86,86,-0.78,279.15,1.5
0,IN,1553563731,100,100,92.75,301.488,3.91
12,RU,1553563786,78,78,146.19,253.088,2.11
44,ID,1553563940,97,97,134.08,301.137,3.41
0,FR,1553563829,65,65,-0.6,279.26,2.6
68,RU,1553563940,83,83,170.27,264.037,7.96
12,PE,1553563941,97,97,-78.44,291.287,0.16
0,ZA,1553563941,92,92,16.43,289.237,10.91
76,JM,1553563942,91,91,-77.59,295.437,1.11
75,AU,1553563020,94,94,139.49,298.15,8.2
92,NG,1553563942,84,84,8.57,298.387,4.36
76,CF,1553563942,98,98,25.13,292.937,1.51
8,EE,1553563804,72,72,23.83,274.82,3.13
0,TD,1553563943,20,20,22.2,294.837,6.11
32,ML,1553563943,55,55,-2.95,295.637,1.76
12,PF,1553563943,100,100,-151.75,301.487,5.41
48,RU,1553563944,75,75,161.3,259.537,5.36
68,RU,1553563944,80,80,34.16,267.887,1.26
0,TR,1553561400,68,68,34.37,272.15,2.6
80,NZ,1553563809,94,94,167.69,288.71,2.24
24,BR,1553563945,96,96,-70.77,297.537,0.81
0,GB,1553563939,86,86,-2.76,278.71,1.5
56,ID,1553563945,83,83,108.49,300.387,1.46
48,CA,1553562973,100,100,-55.16,272.04,8.86
90,IR,1553562000,93,93,59.61,286.15,3.1
0,IN,1553562000,87,87,77.04,289.15,2.6
0,CL,1553563946,95,95,-71.17,286.737,1.41
56,SB,1553563897,100,100,159.96,299.387,1.06
80,RU,1553563947,92,92,41.34,271.137,3.51
90,US,1553563908,87,87,-124.22,282.59,5.7
0,RU,1553563947,90,90,82.83,268.137,2.91
40,VG,1553563632,69,69,-64.62,299.15,4.1
12,GY,1553563948,50,50,-59.84,302.937,6.91
20,CO,1553562000,83,83,-76.53,300.15,5.1
44,GR,1553563827,85,85,20.43,285.37,2.06
1,US,1553563920,12,12,-111.84,302.59,2.1
88,AU,1553563804,69,69,152.91,300.93,3.1
20,NG,1553558400,83,83,3.35,301.15,1.0
88,TR,1553563950,100,100,42.46,275.037,0.41
0,RU,1553563951,95,95,143.14,271.437,2.56
92,RU,1553563951,94,94,87.96,269.387,6.81
0,AR,1553563952,88,88,-57.68,285.537,4.11
75,NU,1553562000,69,69,-169.92,301.15,7.2
88,SY,1553563952,88,88,37.18,281.687,5.86
0,ZA,1553563952,79,79,19.78,283.387,3.21
